created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Oct 23 02:39:54 +0000 2023;1716283276804170020;"@puanmaharani_ri Kl PDIP berani pecat aja mas Gibranya, kyk mecat gub maluku dr pdip gara2 istrinya nyalon, la wong ini jelas2: anak sulung nyalon wapres, anak bungsu masuk psi, bpknya udak berpihak ke prabowo, tp yakin saya nggak berani khan mbak puan??? Takut suara pdip tergerus ya😁😄😄😄";0;0;0;1;in;1603504158824206336;1716020421651530028;heribengkulu;https://twitter.com/heribengkulu/status/1716283276804170020
Mon Oct 23 02:39:52 +0000 2023;1716283268725911705;"Rekomendasi totebag  Aesthetic #NCT재민 #TI12 morning"Running Man" Chen PDIP Golput Suzy "Umur 21" Doona Sarwendah Demokrat #우리_사랑하는_이소희 SEVENTEEN #AMINkanIndonesia jongdae "Talk Saxy" #SelamatPaGit Golkar Somin "Apel Pagi" Bagas Ferrari Senin Sarapan";0;0;0;0;in;1518486922058174464;1716283268725911705;totoberlari;https://twitter.com/totoberlari/status/1716283268725911705
Mon Oct 23 02:39:52 +0000 2023;1716283266301608408;"@ShamsiAli2 Saudara ganjar ini saya harap jangan menganggap Indonesia ini untuk coba coba lah, karena ini nasib rakyat yang di pertaruhkan, jadi kalo bicara aktor, aktor 10 tahun ini yg paling berbahaya adalah mukidi bin pinokio, yg semua janjinya gak ada yg di wujudkan dari partai PDIP.";0;0;0;2;in;1675011538460229633;1716271715645300968;routers40525;https://twitter.com/routers40525/status/1716283266301608408
Mon Oct 23 02:39:33 +0000 2023;1716283185368334718;"Ahok kenang masa-masa dengan Ganjar menolak korupsi e-KTP di Komisi II DPR RI. . . PDIP Vincent Demokrat Sarwendah Golput Talk Saxy Cipung Senin Morninggg Pagii Golkar Juve Umur 21 #AMINkanIndonesia Adli Doona Allegri Pioli Bagas Minggu https://t.co/thdaSp9M0B";0;0;1;1;in;1632654907810664449;1716283185368334718;FauzanRyan3;https://twitter.com/FauzanRyan3/status/1716283185368334718
Mon Oct 23 02:39:32 +0000 2023;1716283182671430125;"Rekomendasi cardigan  Aesthetic #NCT재민 #TI12 morning"Running Man" Chen PDIP Golput Suzy "Umur 21" Doona Sarwendah Demokrat #우리_사랑하는_이소희 SEVENTEEN #AMINkanIndonesia jongdae "Talk Saxy" #SelamatPaGit Golkar Somin "Apel Pagi" Bagas Ferrari Senin Sarapan";0;0;0;0;in;1518486922058174464;1716283182671430125;totoberlari;https://twitter.com/totoberlari/status/1716283182671430125
Mon Oct 23 02:39:31 +0000 2023;1716283178825158695;"Rusia: Menciptakan Negara Palestina Cara Selesaikan Konflik https://t.co/cQehIFRfsQ   PDIP Vincent Demokrat Sarwendah Golput Talk Saxy Cipung Senin Morninggg Pagii Golkar Juve Umur 21 #AMINkanIndonesia Adli Doona Allegri Pioli Bagas #SelamatPaGit Ganjar-Mahfud Suzy";0;0;0;0;in;96970566;1716283178825158695;infoterkiniv;https://twitter.com/infoterkiniv/status/1716283178825158695
Mon Oct 23 02:39:31 +0000 2023;1716283177806029131;"@narkosun Ya ela....lupa mega pernah kalah lawan sby? 2014 dia maju gak bakal menang. Harusnya PDIP yg berterimakasih pada Jokowi karena sosok yang dicintai rakyat itu dipilih sekaligus membesarkan nama PDIP. Pilih calon lain blm tentu menang.menjelang masa jabatan Jokowi dibuang deh";0;0;0;1;in;1529032272027865089;1715634408072663532;bunda_gil;https://twitter.com/bunda_gil/status/1716283177806029131
Mon Oct 23 02:39:17 +0000 2023;1716283120528523333;"@DenDennis123 @kurawa Gue sih tetep FPI...daripada pdip wkwkw mao ape lo ?";0;0;0;0;in;1404106665469779976;1713508659026883034;wandatausayamas;https://twitter.com/wandatausayamas/status/1716283120528523333
Mon Oct 23 02:39:13 +0000 2023;1716283104208540004;"Rekomendasi mug/gelas/cup  Aesthetic #NCT재민 #TI12 morning"Running Man" Chen PDIP Golput Suzy "Umur 21" Doona Sarwendah Demokrat #우리_사랑하는_이소희 SEVENTEEN #AMINkanIndonesia jongdae "Talk Saxy" #SelamatPaGit Golkar Somin "Apel Pagi" Bagas Ferrari Senin Sarapan";0;0;0;0;in;1518486922058174464;1716283104208540004;totoberlari;https://twitter.com/totoberlari/status/1716283104208540004
Mon Oct 23 02:39:11 +0000 2023;1716283096734310686;"@TatangSalman @TeddGus @gibran_tweet @prabowo Ah alasan doang, partai2 yg dikoalisi Prabowo semua juga nggak merespon, masak marsh ya cuma ke PDIP... Alasan yg tepat ya krn klg Jokowi msh ingin berkuasa...";0;0;0;0;in;799637433847382017;1715922521936248919;Adhi_Beka2;https://twitter.com/Adhi_Beka2/status/1716283096734310686
