created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Oct 18 19:29:09 +0000 2023;1714725321638113733;"@AREAJULID Seandainya ganjar bukan PDIP 🗿";0;0;0;0;in;1518546789938634752;1714620506236932325;Stargxg;https://twitter.com/Stargxg/status/1714725321638113733
Wed Oct 18 19:29:03 +0000 2023;1714725297982177637;"@Miduk17 Saya percaya GP dan MMD orang baik. Tp selama undang undang perampasan aset bagi koruptor yg di usulkan presiden jokowi gk di setujui pdip maka, saya gk percaya pdip. Jokowi orang baik, GP dan MMD juga orang baik. PDIP??? Meragukan.";0;0;0;0;in;1326276450274607104;1714490509383946414;Anaklan33234254;https://twitter.com/Anaklan33234254/status/1714725297982177637
Wed Oct 18 19:26:39 +0000 2023;1714724694841249887;"@OposisiCerdas @wiwiek888 Ayo pak @jokowi, sikat aja kader2 PDIP yg Koruptor dan Ungkap Harun Masiku😅";0;0;0;0;in;1274892266406998021;1714204605842894885;GusKevin4;https://twitter.com/GusKevin4/status/1714724694841249887
Wed Oct 18 19:25:18 +0000 2023;1714724351998914803;"@henrysubiakto Maaf... Kalian belum faham taktik politik Jokowi ?  Oke saya kasi tahu,  Jokowi itu tak sejengkal pun lari dari PDIP, dan tak seujung kuku dia beranjak dr Ganjar - Mahfud, karena : 1. Ganjar sm² kader PDIP (11 12) 2. Mahfud  orang no 1 yg melindungi Jokowi";0;0;0;2;in;1640911014849032192;1714642331196907901;jupriadimz7;https://twitter.com/jupriadimz7/status/1714724351998914803
Wed Oct 18 19:21:18 +0000 2023;1714723347026837650;"@henrysubiakto 2 periode saya dukung sby beserta demokrat. Tapi faktanya demokrat korupsinya menggila. 2 periode saya dukung jokowi dan pdip. Tp faktanya undang2 perampasan aset bagi koruptor yg diajukan jokowi gk di setujui juga oleh pdip. Intinya saya lebih percaya jokowi";0;7;3;32;in;1326276450274607104;1714642331196907901;Anaklan33234254;https://twitter.com/Anaklan33234254/status/1714723347026837650
Wed Oct 18 19:20:16 +0000 2023;1714723086787113275;"Pengumuman bacawapres dari Pdip mengubah suasana politik yg kisruh krn cawe cawe. Pdip tlh membuktikan kemandiriannya. Ini semestinya jd pelajaran bagi bacapres yg belum punya bacawapres. Kedaulatan partai itu adalah marwah yg harus dijunjung tinggi....";0;0;0;1;in;34231385;1714723086787113275;Iyan_KH;https://twitter.com/Iyan_KH/status/1714723086787113275
Wed Oct 18 19:19:31 +0000 2023;1714722898928431478;"BREAKING NEWS: PDIP Umumkan Mahfud MD Jadi Cawapres Ganjar Pranowo https://t.co/kJXgN6Ob1V";0;0;0;0;in;365332334;1714722898928431478;terkenalcoid;https://twitter.com/terkenalcoid/status/1714722898928431478
Wed Oct 18 19:12:03 +0000 2023;1714721020073177482;"Hasil Togel Ottawa, 19 Oktober 2023  Akun Gacor👉 https://t.co/HclyIeEyN2  Inisial M yaitu Mamat bertemu Gibran pinjam 349 T di PDIP cabang Madura mencari SKCK dan Imroatus jual Foto Termahal 2023  #GazaAttack #IsraelTerorrist #RatcliffeOut #AnindyaAstadasa #bokepjepang #vcs https://t.co/SZNVVSgqNG";0;0;0;0;in;1702340513414963200;1714721020073177482;lcct0to;https://twitter.com/lcct0to/status/1714721020073177482
Wed Oct 18 19:11:08 +0000 2023;1714720787524186386;"@ivan999vcd_ivan @Sgm_mks @gibran_tweet Tp gmn ya, ibrtnya cancel nya jg kita ga tau krn apa.. bisa jadi bukan krn ga mau tp hanya krn ga bisa aja.. saya pikir pdip hrs berfikir lagi, jgn sampe plihara anak singa trs nerkam balik";0;0;0;0;in;1513125936664772612;1714608422006763772;KolondamSamuel;https://twitter.com/KolondamSamuel/status/1714720787524186386
Wed Oct 18 19:11:05 +0000 2023;1714720776950346210;"@jakartapagitadi @sigitwid Jokowi itu vote getter bagi pdip sejak per 2 wali solo. Klo yg pertama btl didukung pdip dan pkb Per 1 menang hanya 36,6 % Per 2 menang telak 90% Coba pikir sendiri";0;0;0;0;in;1704863099629731840;1714484379769311600;Pamankarta;https://twitter.com/Pamankarta/status/1714720776950346210
Wed Oct 18 19:08:48 +0000 2023;1714720201865130102;"@Dennysiregar7 Bang.. isu Gibran itu hanya upaya paksa untuk membuka kartu yang ada PDIP. Dan ternyata buk de berhasil dibikin baper sehingga terbuka wajah aslinya terhadap pak de yang tulus selama ini. Toh yang akan dimajukan sebagai calon wapres tetap Mentri nya yang tau maunya pak de";0;1;0;5;in;1039879615022432261;1714662753070203346;FadjriRabiul;https://twitter.com/FadjriRabiul/status/1714720201865130102
Wed Oct 18 19:05:25 +0000 2023;1714719350526275623;"@puanmaharani_ri Ambisi @pdip masih ingin berkuasa hatrick, alasan milih @ganjarpranowo sm @mohmahfudmd atas nama rakyat cuma modus saja.";0;0;0;0;in;137665560;1714584964623441968;Gun2GS;https://twitter.com/Gun2GS/status/1714719350526275623
Wed Oct 18 19:04:54 +0000 2023;1714719218267197521;"Komitmen Ganjar perangi korupsi💪💯  || Foto Termahal 2023 349 T Sara Wijayanto Gibran MOM SORRY Madura PDIP Mamat GAMA SKCK GoFud ORANG BAIK PILIH ORANG BAIK Inisial M Imroatus Projo Dukung Prabowo Megawati Mahfud || https://t.co/hNYyqX7MOC";0;19;12;36;in;1598886457225015296;1714719218267197521;AsmawatiMuni43;https://twitter.com/AsmawatiMuni43/status/1714719218267197521
Wed Oct 18 19:04:08 +0000 2023;1714719024393675223;"@henrysubiakto Marahnya PDIP( Bu Mega ), sip banget ..... Diam, dan melihat saja";0;0;0;0;in;456553527;1714642331196907901;fajar_cy71;https://twitter.com/fajar_cy71/status/1714719024393675223
Wed Oct 18 19:03:00 +0000 2023;1714718741576249637;"@VIVAcoid Yg butuh PDIP jadi wajar";0;0;0;0;in;114452217;1714562491425198421;ballambinlove;https://twitter.com/ballambinlove/status/1714718741576249637
Wed Oct 18 18:58:37 +0000 2023;1714717638159724881;"@democrazymedia PDIP rata rata pemilihnya non muslim, kalau muslim biasanya cuma di ktp😜🤣";0;0;0;0;in;919581446523592704;1714582095300104562;rins_70;https://twitter.com/rins_70/status/1714717638159724881
Wed Oct 18 18:58:31 +0000 2023;1714717611760775244;"@henrysubiakto Jika bobot PDIP dikali sepuluh, saya masih lebih percaya Jokowi.  Ganjar bagus kok, yg gak bagus pendukung nya yang menganggap dia dewa, terlalu berlebihan.  Apakah Ganjar bisa 'sekelas' Jokowi, waktu yg  akan membuktikan.  Jangan suka berlebihan atau terlalu benci.";0;2;0;27;in;21881917;1714642331196907901;Bang_Jedi;https://twitter.com/Bang_Jedi/status/1714717611760775244
Wed Oct 18 18:56:11 +0000 2023;1714717024885371232;"Mahfud MD Dampingi Ganjar Pranowo Hadapi Pilpres 2024, Puan ke Jokowi : Masih Dukung Ganjar Tidak?  #Politik #Parpol #Deklarasi #PDIP #PuanMaharani #Megawati #GanjarPranowo #MahfudMD #jjk239 #KamiMuak #KamiEnek #IsraelAttack #GazaHospital #Gaza #Israel  https://t.co/Uh92bNpphs https://t.co/vSCkLZFI4z";0;0;1;2;in;1654834716422606850;1714717024885371232;HarianNarasi;https://twitter.com/HarianNarasi/status/1714717024885371232
Wed Oct 18 18:51:17 +0000 2023;1714715790589784296;"@AgusssBaskoro @ApriliaLin Maybe, tqpi dia gak nyerang pdip dan mega kan";0;0;0;0;in;1704863099629731840;1714273480227926182;Pamankarta;https://twitter.com/Pamankarta/status/1714715790589784296
Wed Oct 18 18:50:20 +0000 2023;1714715553083126142;"@sigitwid Jokowi itu sdh bersama PDIP sebelum 2012..dan skrg msh bersama PDIP.Setiap Partai itu hrs punya Mentor internal,bukan nebeng kader partai lain.Intelek tp wawasannya kok sempit.";0;0;0;0;in;278039207;1714631565160902993;Megatop99;https://twitter.com/Megatop99/status/1714715553083126142
Wed Oct 18 18:45:27 +0000 2023;1714714325548695884;"PDIP Umumkan Mahfud MD sebagai Bakal Cawapres Mendampingi Ganjar Pranowo https://t.co/jEJMf3ddTr https://t.co/sYZXGh53ws";0;0;0;0;in;840883185072316416;1714714325548695884;kuninganreligi;https://twitter.com/kuninganreligi/status/1714714325548695884
Wed Oct 18 18:45:14 +0000 2023;1714714270439796994;"@MataNajwa karena org2 yg nolak dulu udah nggak ada di gerbong nya banteng.. bu mega ya tinggal approve pak mahfud yg dlu sudah jadi inceran PDIP";0;0;0;0;in;1394276984687980552;1714547669400699175;iconbasics_;https://twitter.com/iconbasics_/status/1714714270439796994
Wed Oct 18 18:44:38 +0000 2023;1714714119935525070;"@ainunnajib Ganjar Mahfud : dari PDIP dan harusnya pak Mahfud presidennya Prabowo Gibran : banyak permainan politik tingkat dinasti, Prabowo sudah kalah terus kita butuh barang baru AMIN : it's oke";0;0;0;1;in;977004569522614272;1714434373041484030;DavidLo97964214;https://twitter.com/DavidLo97964214/status/1714714119935525070
Wed Oct 18 18:44:29 +0000 2023;1714714082107158873;"@Julianpyupyu @AndiDarwis71 Betul sekali. presentasinya mungkin 8 : 2 8 pemilih jokowi = pendukung pdip 2 pemilih jokowi = bkn pendukung pdip";0;0;0;0;in;197856995;1714079371072589871;karoenia90;https://twitter.com/karoenia90/status/1714714082107158873
Wed Oct 18 18:44:01 +0000 2023;1714713965555777769;"@putucangkiriku @kurawa Kritik ma menggiring opini itunbeda, bodo bgt gabisa bedakan, mreka giring opini krna tkut dengan ISU gibran kluar dr pdip, pdahal gak kyk gtu n terbukti gak sperti itu";0;0;0;0;in;1304094326310412288;1714600062440087623;marlin_rizki;https://twitter.com/marlin_rizki/status/1714713965555777769
Wed Oct 18 18:41:56 +0000 2023;1714713438138888569;"@aniesbaswedan dan @cakimiNOW mau siapapun lawan sainganya tetap biasa saja, ini gerombolan tukang surpei grup bayaran pdip? @Adiprayitno_20 @yunartowijaya  kok ikut geram klo @gibran_tweet jd cawapres @prabowo , @jokowi presiden jd sasarannya";0;0;0;0;in;137665560;1714713438138888569;Gun2GS;https://twitter.com/Gun2GS/status/1714713438138888569
Wed Oct 18 18:40:46 +0000 2023;1714713146252836891;"@GunRomli pdip tidak butuh bacawapres kaya. 9 tahun berkuasa dan memproduksi banyak koruptor kelas kakap, uang pdip nggak berseri.";0;0;0;0;in;1591943923;1714578593098154217;m_f4ch21;https://twitter.com/m_f4ch21/status/1714713146252836891
Wed Oct 18 18:40:06 +0000 2023;1714712976404738085;"@dwikidhr @TheaRizkyyy @tirta_cipeng Goblok banget kalo ampe mikir pdip ga ada yg milih 😂 pdip itu partai dengan grassroot paling kuat";0;0;0;1;in;3805692552;1714507991716921613;mengong78;https://twitter.com/mengong78/status/1714712976404738085
